T,mbatch,time_cost,best,lowerbound
4,8,5.1526899337768555,33072.0,13691.0
4,8,5.609184980392456,33072.0,13691.0
4,8,5.797250032424927,33072.0,13691.0
4,8,5.144169092178345,33072.0,13691.0
4,8,5.2095091342926025,33072.0,13691.0
4,9,5.724773168563843,62873.0,13989.0
4,9,5.287689924240112,62873.0,13989.0
4,9,5.334517002105713,62873.0,13989.0
4,9,5.245207786560059,62873.0,13989.0
4,9,5.270556926727295,62873.0,13989.0
4,9,5.325271844863892,62873.0,13989.0
4,9,5.3013410568237305,62873.0,13989.0
4,9,5.025804042816162,inf,13989.0
4,9,6.768103122711182,inf,13989.0
4,9,5.512038946151733,62873.0,13989.0
8,1,8.246424198150635,19952.0,16290.0
8,1,8.277528762817383,18826.0,16296.0
8,1,8.260427713394165,18184.0,16289.0
8,1,8.336488008499146,19114.0,16287.0
8,1,8.285356044769287,19723.0,16286.0
8,1,8.243379354476929,19496.0,16288.0
8,1,8.245537996292114,20177.0,16286.0
8,1,8.239788055419922,18058.0,16296.0
8,1,8.286110877990723,19296.0,16290.0
8,1,8.259431838989258,18653.0,16286.0
8,2,8.393694162368774,22936.0,14834.0
8,2,8.369081974029541,22780.0,14838.0
8,2,8.397230863571167,34093.0,14838.0
8,2,8.38814401626587,33027.0,14840.0
8,2,8.36896276473999,23028.0,14839.0
8,2,8.392525911331177,33653.0,14840.0
8,2,8.395159006118774,30186.0,14838.0
8,2,8.372972965240479,22530.0,14841.0
8,2,8.423594951629639,32224.0,14838.0
8,2,8.385660886764526,33185.0,14839.0
8,3,8.484475135803223,28334.0,14503.0
8,3,8.508492708206177,28334.0,14504.0
8,3,8.500865936279297,28243.0,14504.0
8,3,8.522897958755493,28334.0,14503.0
8,3,8.53037428855896,28334.0,14504.0
8,3,8.52187991142273,28334.0,14503.0
8,3,8.518982887268066,28334.0,14503.0
8,3,8.516167879104614,28334.0,14503.0
8,3,8.49017596244812,28334.0,14504.0
8,3,8.490760803222656,28334.0,14504.0
8,4,8.659279823303223,28526.0,14204.0
8,4,8.640486001968384,28113.0,14593.0
8,4,8.657210111618042,28526.0,14206.0
8,4,8.637401103973389,28526.0,14206.0
8,4,8.655616998672485,28113.0,14205.0
8,4,8.633103132247925,28526.0,14206.0
8,4,8.64501404762268,28526.0,14205.0
8,4,8.678515911102295,28526.0,14203.0
8,4,8.80968713760376,28113.0,14202.0
8,4,8.811369180679321,28526.0,14204.0
8,5,8.773941993713379,28029.0,14030.0
8,5,8.782387018203735,28029.0,14029.0
8,5,8.844136953353882,28029.0,14030.0
8,5,8.956259727478027,28029.0,14029.0
8,5,8.756764888763428,28029.0,14029.0
8,5,8.792656183242798,28029.0,14029.0
8,5,8.781190156936646,28029.0,14030.0
8,5,8.796201944351196,28029.0,14030.0
8,5,8.836910009384155,28029.0,14029.0
8,5,8.894989013671875,28029.0,14027.0
8,6,10.117661952972412,48496.0,13864.0
8,6,9.588001012802124,48659.0,13864.0
8,6,8.963486194610596,48659.0,13865.0
8,6,8.895768165588379,29096.0,13863.0
8,6,8.940465927124023,48659.0,13865.0
8,6,8.930583953857422,48659.0,13865.0
8,6,8.897724151611328,29096.0,13865.0
8,6,8.982100009918213,48659.0,13865.0
8,6,8.93007206916809,29096.0,13865.0
8,6,8.950351238250732,48659.0,13865.0
8,7,9.060384035110474,29581.0,13771.0
8,7,9.023365020751953,29581.0,13771.0
8,7,9.050099849700928,29581.0,13772.0
8,7,9.106787919998169,29581.0,13771.0
8,7,9.262655973434448,29581.0,13771.0
8,7,9.071455955505371,29581.0,13772.0
8,7,9.081686019897461,29581.0,13772.0
8,7,9.000368118286133,29581.0,13771.0
8,7,9.069183111190796,29553.0,13772.0
8,7,9.08234691619873,29581.0,13770.0
8,8,9.243370056152344,32816.0,13692.0
8,8,9.327906131744385,32816.0,13693.0
8,8,9.285413026809692,32816.0,13693.0
8,8,9.324079036712646,32816.0,13692.0
8,8,11.26074504852295,32816.0,13692.0
8,8,10.067340850830078,33071.0,13692.0
8,8,11.625863075256348,33072.0,13692.0
8,8,10.059316873550415,32816.0,13692.0
8,8,9.537382125854492,32816.0,13693.0
8,8,9.375041007995605,32816.0,13693.0
8,9,9.522483110427856,62623.0,13990.0
8,9,9.299552917480469,62623.0,13991.0
8,9,9.299605131149292,62623.0,13990.0
8,9,9.304455041885376,62623.0,13990.0
8,9,9.330561876296997,62623.0,13991.0
8,9,9.400617361068726,62872.0,13989.0
8,9,9.453389644622803,62872.0,13990.0
8,9,9.522045135498047,62872.0,13990.0
8,9,9.676457166671753,62872.0,13990.0
8,9,10.891281127929688,62623.0,13990.0
12,1,12.248261213302612,18265.0,16313.0
12,1,12.268510818481445,17754.0,16316.0
12,1,12.289963960647583,18335.0,16313.0
12,1,12.31112813949585,19580.0,16310.0
12,1,12.423693895339966,18812.0,16314.0
12,1,12.289168119430542,19370.0,16318.0
12,1,12.270398139953613,17988.0,16315.0
12,1,12.301393985748291,18728.0,16318.0
12,1,12.266211032867432,18567.0,16317.0
12,1,12.31623101234436,19444.0,16300.0
12,2,12.407342910766602,23028.0,14849.0
12,2,12.466817140579224,32403.0,14856.0
12,2,12.45777678489685,24744.0,14851.0
12,2,12.42070198059082,32559.0,14857.0
12,2,12.471158027648926,23028.0,14854.0
12,2,12.71495795249939,33810.0,14834.0
12,2,12.868134021759033,33936.0,14832.0
12,2,12.441670179367065,33028.0,14854.0
12,2,12.372253894805908,22621.0,14857.0
12,2,12.45274019241333,23028.0,14849.0
12,3,12.569298028945923,28243.0,14511.0
12,3,12.549001932144165,27823.0,14511.0
12,3,12.564337253570557,27823.0,14511.0
12,3,12.582129001617432,27823.0,14509.0
12,3,12.548256874084473,27823.0,14511.0
12,3,12.502486944198608,27823.0,14513.0
12,3,12.570759057998657,27823.0,14508.0
12,3,12.550855875015259,27732.0,14513.0
12,3,12.660926342010498,28243.0,14509.0
12,3,12.836241006851196,28334.0,14504.0
12,4,13.175909042358398,28526.0,14207.0
12,4,13.001554012298584,28526.0,14201.0
12,4,12.86650800704956,28113.0,14206.0
12,4,12.780067920684814,28526.0,14206.0
12,4,12.691434860229492,28526.0,14209.0
12,4,12.886254072189331,28526.0,14202.0
12,4,14.489707946777344,28526.0,14206.0
12,4,12.720990180969238,28526.0,14205.0
12,4,13.023098945617676,28526.0,14207.0
12,4,12.678255796432495,28463.0,14211.0
12,5,13.359369993209839,28029.0,14034.0
12,5,13.037230968475342,28029.0,14030.0
12,5,13.139739751815796,28029.0,14033.0
12,5,12.806565999984741,28029.0,14033.0
12,5,12.885494947433472,28029.0,14031.0
12,5,12.809885025024414,28029.0,14032.0
12,5,13.70103907585144,28029.0,14026.0
12,5,13.623993158340454,28029.0,14030.0
12,5,13.065876007080078,28029.0,14030.0
12,5,12.874560117721558,28029.0,14032.0
12,6,12.902619123458862,29096.0,13867.0
12,6,12.949935674667358,29096.0,13869.0
12,6,12.9253089427948,29096.0,13868.0
12,6,13.035064220428467,29096.0,13868.0
12,6,13.055531024932861,48659.0,13868.0
12,6,12.899312734603882,29096.0,13870.0
12,6,12.936856746673584,29096.0,13868.0
12,6,12.902068853378296,28938.0,13869.0
12,6,13.104843139648438,29096.0,13866.0
12,6,13.387878894805908,48496.0,13864.0
12,7,13.136516809463501,29581.0,13773.0
12,7,14.054661750793457,29581.0,13773.0
12,7,13.139484167098999,29581.0,13772.0
12,7,13.72296404838562,29581.0,13773.0
12,7,13.590136051177979,29581.0,13771.0
12,7,13.570795059204102,29581.0,13773.0
12,7,13.42224669456482,29581.0,13772.0
12,7,13.45585298538208,29581.0,13771.0
12,7,13.724606037139893,29581.0,13771.0
12,7,13.470227003097534,29581.0,13770.0
12,8,13.804533958435059,32816.0,13693.0
12,8,13.586910963058472,32816.0,13694.0
12,8,13.52908182144165,32816.0,13694.0
12,8,13.726953983306885,32816.0,13694.0
12,8,13.219491004943848,32816.0,13693.0
12,8,13.207170963287354,32816.0,13695.0
12,8,13.219235897064209,32816.0,13695.0
12,8,13.798344135284424,32816.0,13696.0
12,8,13.218295097351074,32816.0,13695.0
12,8,13.213568925857544,32816.0,13696.0
12,9,13.318751335144043,61873.0,13993.0
12,9,13.32581615447998,62373.0,13993.0
12,9,13.33977484703064,62623.0,13993.0
12,9,13.326132774353027,62124.0,13993.0
12,9,13.3526771068573,62373.0,13992.0
12,9,13.336724996566772,62373.0,13992.0
12,9,13.375594139099121,62623.0,13992.0
12,9,13.367039203643799,62373.0,13992.0
12,9,13.303375959396362,62372.0,13992.0
12,9,13.366188049316406,62373.0,13992.0
16,1,16.258253812789917,17795.0,16334.0
16,1,16.457558155059814,17567.0,16323.0
16,1,16.35311985015869,18921.0,16320.0
16,1,16.329466104507446,19054.0,16318.0
16,1,16.27882695198059,17707.0,16321.0
16,1,16.453492879867554,18740.0,16313.0
16,1,16.440370798110962,17795.0,16331.0
16,1,16.309195041656494,17567.0,16325.0
16,1,16.446120262145996,18398.0,16304.0
16,1,17.946780920028687,20724.0,16264.0
16,2,16.654050827026367,22154.0,14863.0
16,2,16.391820907592773,31778.0,14872.0
16,2,16.43558621406555,31995.0,14874.0
16,2,16.445465087890625,33185.0,14863.0
16,2,16.59279990196228,22437.0,14863.0
16,2,16.48805809020996,30525.0,14861.0
16,2,101.5703718662262,24278.0,14825.0
16,2,17.116924047470093,32560.0,14878.0
16,2,16.557292938232422,22154.0,14874.0
16,2,28.609450817108154,22779.0,14865.0
16,3,16.612740755081177,27823.0,14516.0
16,3,16.4846088886261,27290.0,14525.0
16,3,25.700046062469482,28243.0,14518.0
16,3,16.72459602355957,27289.0,14521.0
16,3,16.5545871257782,28243.0,14525.0
16,3,16.55448579788208,27732.0,14522.0
16,3,37.305593729019165,27312.0,14519.0
16,3,16.562610387802124,27199.0,14519.0
16,3,32.6366400718689,28243.0,14520.0
16,3,16.659158945083618,27732.0,14518.0
16,4,16.692636013031006,28050.0,14221.0
16,4,21.856462955474854,28123.0,14216.0
16,4,16.802884817123413,28526.0,14511.0
16,4,16.660563945770264,28113.0,14215.0
16,4,3012.856687307358,28463.0,14217.0
16,4,16.677172899246216,28113.0,14220.0
16,4,16.72848916053772,28113.0,14216.0
16,4,16.637682914733887,28113.0,14218.0
16,4,81.09211897850037,28463.0,14217.0
16,4,16.774781942367554,28050.0,14221.0
16,5,152.1766231060028,28029.0,14039.0
16,5,17.85414409637451,28029.0,14032.0
16,5,24.591835021972656,28029.0,14034.0
16,5,16.894670724868774,28029.0,14036.0
16,5,16.83757495880127,28029.0,14036.0
16,5,16.81612205505371,28029.0,14036.0
16,5,16.899542093276978,28029.0,14031.0
16,5,17.05247211456299,27947.0,14035.0
16,5,16.84467077255249,28029.0,14038.0
16,5,16.789485216140747,28029.0,14037.0
16,6,16.966633319854736,29096.0,13873.0
16,6,16.91565227508545,28938.0,13873.0
16,6,16.9441819190979,28938.0,13870.0
16,6,16.968813180923462,48659.0,13870.0
16,6,16.957733154296875,48368.0,13872.0
16,6,16.96366786956787,48659.0,13873.0
16,6,16.90192413330078,29096.0,13873.0
16,6,16.934053659439087,48659.0,13873.0
16,6,16.909920930862427,29096.0,13874.0
16,6,16.970936059951782,47762.0,13871.0
16,7,17.068763971328735,29581.0,13777.0
16,7,17.053966999053955,29581.0,13776.0
16,7,17.026103973388672,29581.0,13776.0
16,7,17.073646068572998,29581.0,13778.0
16,7,17.087793827056885,29581.0,13776.0
16,7,17.066056966781616,29581.0,13777.0
16,7,17.068113327026367,29581.0,13776.0
16,7,17.046982049942017,29581.0,13776.0
16,7,17.098082780838013,29581.0,13777.0
16,7,17.09386897087097,29581.0,13776.0
16,8,17.19005584716797,32816.0,13697.0
16,8,17.18857192993164,32816.0,13698.0
16,8,17.20885682106018,32816.0,13697.0
16,8,17.17456364631653,32816.0,13698.0
16,8,17.204272985458374,32816.0,13698.0
16,8,17.166704893112183,32816.0,13698.0
16,8,17.144361972808838,32816.0,13698.0
16,8,17.18041706085205,32816.0,13698.0
16,8,17.169400691986084,32816.0,13698.0
16,8,17.163471221923828,32816.0,13698.0
16,9,17.32600975036621,61623.0,13995.0
16,9,17.32996106147766,62373.0,13994.0
16,9,17.3608341217041,61873.0,13995.0
16,9,17.323852062225342,61623.0,13995.0
16,9,17.331770181655884,62623.0,13994.0
16,9,17.328569173812866,62623.0,13995.0
16,9,17.360491037368774,62373.0,13994.0
16,9,17.3306622505188,61873.0,13994.0
16,9,17.392197132110596,62623.0,13994.0
16,9,17.883627891540527,62623.0,13994.0
